Fecha;PM2.5(µg/m³);Xileno(µg/m³);SO2(µg/m³);CO(mg/m³);NO(µg/m³);NO2(µg/m³);PM10(µg/m³);NOx(µg/m³);Ozono(µg/m³);Tolueno(µg/m³);Benceno(µg/m³);Ruido(dBA)
2017-01-07;11;1.4;3;0.2;43;47;12;113;13;5.5;2.9;62
2017-01-12;6;2.3;3;0.2;56;43;21;128;13;7.2;2.7;61
2017-01-17;2;0.3;3;0.1;33;38;6;88;39;2.7;1.6;60
2017-01-23;4;1.3;6;0.2;49;60;8;135;21;5.4;3.0;61
2017-01-25;6;;15;0.2;45;54;12;122;25;;;61
2017-01-27;11;1.7;;0.2;42;56;15;119;32;7.3;2.4;64
2017-02-02;5;1.1;7;0.2;36;46;10;101;28;6.1;2.2;63
2017-02-09;4;0.8;;0.2;37;49;11;105;39;4.8;2.6;60
2017-02-12;7;0.2;3;0.1;9;13;12;27;63;1.1;1.3;64
2017-02-13;6;0.6;3;0.2;28;39;9;83;35;4.9;1.8;66
2017-02-15;11;3.2;3;0.2;42;53;15;116;19;10.2;2.9;62
2017-02-16;14;3.6;4;0.3;60;62;20;155;16;9.4;3.1;62
2017-02-22;10;;6;0.4;90;80;20;217;11;;;59
2017-03-01;4;0.8;4;0.2;27;37;8;79;34;5.1;1.9;61
2017-03-02;12;2.7;4;0.3;51;57;17;136;18;11.0;2.9;62
2017-03-06;3;0.8;4;0.2;21;29;13;61;37;7.6;1.3;60
2017-03-16;24;4.8;7;0.3;33;63;31;113;32;7.5;3.2;65
2017-03-17;17;2.4;7;0.2;24;52;22;89;39;5.5;2.5;65
2017-03-20;22;;6;0.3;34;50;27;102;40;;;61
2017-03-21;21;3.8;4;0.2;28;43;23;86;44;1.3;2.7;62
2017-03-23;4;;3;0.1;20;27;25;57;66;;;60
2017-03-24;3;1.5;4;0.1;26;44;8;83;52;3.7;2.1;59
2017-03-25;5;0.6;4;0.1;15;39;16;62;56;2.5;1.7;60
2017-03-26;5;1.4;4;0.2;12;31;7;50;59;3.0;1.7;60
2017-04-04;7;3.0;;0.2;58;75;17;163;37;9.1;2.7;58
2017-04-05;6;5.3;;0.2;54;74;14;156;27;9.5;2.5;59
2017-04-08;10;1.6;;0.1;18;58;13;84;58;4.4;1.8;59
2017-04-15;14;0.7;;0.2;10;35;18;50;72;2.2;1.1;58
2017-04-18;13;0.9;;0.2;16;32;15;56;49;4.8;1.2;60
2017-04-19;5;0.5;;0.1;18;36;9;64;58;4.3;1.5;59
2017-04-21;4;0.5;3;0.1;22;41;9;74;66;4.2;1.8;58
2017-04-23;5;0.7;5;;10;31;7;45;65;2.3;1.3;58
